reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
8390a320-5d50-42f8-a573-f5cdd97d2ea3,Madhu Ram,Sleeimfh Vertical for a reason,5,0,7.58.0 build 26 34888,2024-06-12 22:01:30,7.58.0 build 26 34888
ef083300-d950-4975-806f-9fbd73afef36,Maddie :3,"I complained before, but now I'm pretty upset too. Netflix recently added a ""household"" function and now everything sucks. I can't get on Netflix while I'm traveling, at a friend's house, or even when I'm just using my data or a separate wifi from the TV the main account is connected to..Netflix needs to remove the household settings and let people watch where they wanna watch.",1,3,8.116.0 build 8 50690,2024-06-12 21:59:37,8.116.0 build 8 50690
5039c9c3-3b94-4bb6-b77b-af068b087361,Adriana Torregrossa,On top of everything that has been going down in the last years... Where the heck is the CAST button now?,1,0,8.118.1 build 10 50703,2024-06-12 21:44:11,8.118.1 build 10 50703
aa83492e-b8c4-4b97-a1a3-10982d48a861,Harman Kaur Khanduja,This app is really good cuz of the international movies and dramas they have and the subtitles are accurate it's great. But the problem is that sign out sign in problem is too much. I just want to create an account and it asks money for it even though I have already payed. Just say it you are hungry of money. It gets frustrating at times.,3,0,8.118.1 build 10 50703,2024-06-12 21:30:43,8.118.1 build 10 50703
d208f2ef-b8a4-49a3-8b6f-e46edb692458,Wilder Turley,Why are we expected to pay individually instead of sharing when Netflix has became a worse website with less shows.,1,0,8.27.0 build 5 40228,2024-06-12 21:26:27,8.27.0 build 5 40228
6ab65854-bcba-4a4a-b800-1c6ed7d59e86,Tomo B,Good,5,0,8.67.1 build 11 50414,2024-06-12 21:25:20,8.67.1 build 11 50414
2a03b53e-bcf3-4115-b9c2-fb3d93d77bff,Ashbin Mathew,I can't even open the Netflix app. It always shows that the Device failure occured.horrible by the way,1,0,8.118.1 build 10 50703,2024-06-12 21:09:15,8.118.1 build 10 50703
3198a50f-c306-435e-97e0-4149908181ff,Charles Mutua,It's just amazing,5,0,8.117.0 build 3 50695,2024-06-12 21:02:27,8.117.0 build 3 50695
deeb58af-7611-4d75-a923-0b8db9d517d1,emmanuel chiamaka nneka,Super cool,5,0,,2024-06-12 20:55:23,
c0c49763-2422-4c8a-9f5f-f82bfd3b4ed3,K R,"Mobile app is now useless. I travel from home to work, and visit family but can't use the MOBILE app (keyword there) anywhere but at home now.",1,0,8.118.1 build 10 50703,2024-06-12 20:35:02,8.118.1 build 10 50703
162929f5-26fd-4d64-aace-c3cf6c6762fe,Godwin Golliat,Love this app. Best app to watch your favourite shows on.,5,0,8.118.1 build 10 50703,2024-06-12 20:34:59,8.118.1 build 10 50703
d3232a51-f53d-4820-a8e9-b911973b7a15,Oluwaseun Abimbola,Half bad Half good feels good feels bad it is a perfect experience,2,0,8.113.2 build 27 50674,2024-06-12 20:25:12,8.113.2 build 27 50674
37ca0547-9ac1-4bfe-a333-a8ffe91cb641,Bong Concepcion,amazing,5,0,8.118.1 build 10 50703,2024-06-12 20:02:41,8.118.1 build 10 50703
51f06473-2ca8-4dec-8c1b-8c57dc8a25b1,Alex,"You app not a part of this household, so you get 1 star. Deserve less tbh.",1,0,8.117.0 build 3 50695,2024-06-12 19:55:51,8.117.0 build 3 50695
75562c61-1bb7-4d31-b146-a8010e80dec0,Nick Scheynen,"First you force me to accept a price increase, a couple of days later you kick out the rest of my family from our account (sure that's fair). I switch to the cheapest subscription with ads and now you took away the possibility to cast to my Chromecast? YouTube and Prime can show ads on Chromecast, why can't you. Absolute disgrace and not even worth the 5 euro. This is not how you will keep growing your revenue.",1,0,8.117.0 build 3 50695,2024-06-12 19:54:00,8.117.0 build 3 50695
cc3f873e-6720-471c-bfc5-f32b7124c727,BABU PATHAN,More Hindi upload please,5,0,8.117.0 build 3 50695,2024-06-12 19:51:24,8.117.0 build 3 50695
ba125ebf-b5da-42fe-b900-7a4b6079f67a,Ayomide Orisadipe,I have been try to pay for my subscription over a week and it bringing out we are not unable to complete the action,4,0,8.117.0 build 3 50695,2024-06-12 19:45:29,8.117.0 build 3 50695
80220c4b-28af-4573-a6e8-6c491abc40dd,Daniel Ibrahim,Horrible doesn't work half the time and signs you out and randomly kicks you out of the house hold nothing positive to say,1,0,8.118.1 build 10 50703,2024-06-12 19:42:54,8.118.1 build 10 50703
68e1e2f5-3fca-43b0-9e5f-f839eed800ae,Adaramoye Bose,No space,5,0,,2024-06-12 19:40:21,
7c1ad3cf-01f5-49b5-8d3c-258f323baff0,Orhun Pınarbaşı,Games are great,5,0,8.118.1 build 10 50703,2024-06-12 19:36:07,8.118.1 build 10 50703
83905abc-382b-4b55-98c5-1956379e12de,Joana Langa,It has a lot of good shows like blood and water 💦,3,0,8.52.2 build 14 50335,2024-06-12 19:21:54,8.52.2 build 14 50335
2fa1af95-8efa-48b7-9fba-455e59123ebb,umesh kothekar,very bad app I did not login my account everytime an error occurred and very bad experience with this app,1,0,,2024-06-12 18:59:23,
ebdb015a-922e-4971-8812-44d271918e12,Paul Mamolzag,My love it the apps,5,0,8.117.0 build 3 50695,2024-06-12 18:58:31,8.117.0 build 3 50695
587f3f24-9eea-4f40-8bc4-c5a3c26a2c87,erik coats,Volume going up and down !,5,0,8.116.0 build 8 50690,2024-06-12 18:58:09,8.116.0 build 8 50690
98116dd7-54d1-400b-aba1-709ad33ae92e,Margaret Munyika,Even when my subtitles are of they are still showing,1,0,8.117.0 build 3 50695,2024-06-12 18:55:17,8.117.0 build 3 50695
1f4662a0-234d-44d9-bce6-79d0550f3b4b,Neo Lebakeng,This thing called Netflix is poop,1,0,8.118.1 build 10 50703,2024-06-12 18:52:27,8.118.1 build 10 50703
c5339dda-b642-41d1-a6ef-df1dca55fcd2,Njoroge home tv,great,5,0,8.118.1 build 10 50703,2024-06-12 18:34:56,8.118.1 build 10 50703
a4a06237-8fba-40cb-b9b8-79529bd3ab4b,I C,"$21+tax for 4k resolution 6 device plan no ads, $15+tax for standard 2 device no ads $7+tax for standard with ads No thank you",1,0,8.118.1 build 10 50703,2024-06-12 18:18:19,8.118.1 build 10 50703
